comparison,dataset_label,cell_type,condition,donor_column,n_donors,n_cells,n_cells_input_to_metacells,n_metacells,n_candidate_lr_pairs,n_lr_pairs_diff_potential,n_retained_tfs,n_predicted_interactions,n_unique_predicted_lr,k,min_meta_cells,condition_column_sc,expected_metacells_per_arm,metacell_rule_ok
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),club_cell,case,donor_id,3,840,840,420,824,428,99,198,198,1,100,condition_original,420,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),club_cell,control,donor_id,18,2541,2400,420,824,428,99,198,198,1,100,condition_original,420,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),basal_cell,case,donor_id,3,458,458,229,887,304,36,162,162,1,100,condition_original,229,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),basal_cell,control,donor_id,19,30514,2400,229,887,304,36,162,162,1,100,condition_original,229,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),CD8_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,3,1679,1679,369,288,177,78,67,67,1,100,condition_original,369,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),CD8_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,9,739,739,369,288,177,78,67,67,1,100,condition_original,369,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),respiratory_tract_multiciliated_cell,case,donor_id,3,8538,2400,600,838,477,77,188,188,1,100,condition_original,600,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),respiratory_tract_multiciliated_cell,control,donor_id,18,9618,2400,600,838,477,77,188,188,1,100,condition_original,600,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),cytotoxic_T_cell,case,donor_id,3,778,778,389,389,115,51,57,57,1,100,condition_original,389,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),cytotoxic_T_cell,control,donor_id,16,11953,2400,389,389,115,51,57,57,1,100,condition_original,389,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),CD4_minus_positive_helper_T_cell,case,donor_id,3,654,654,327,427,135,86,69,69,1,100,condition_original,327,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),CD4_minus_positive_helper_T_cell,control,donor_id,15,4362,2400,327,427,135,86,69,69,1,100,condition_original,327,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),macrophage,case,donor_id,3,253,253,103,765,199,112,89,89,1,100,condition_original,103,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),macrophage,control,donor_id,14,207,207,103,765,199,112,89,89,1,100,condition_original,103,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),mast_cell,case,donor_id,3,203,203,101,400,58,106,26,26,1,100,condition_original,101,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),mast_cell,control,donor_id,15,658,658,101,400,58,106,26,26,1,100,condition_original,101,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),secretory_cell,case,donor_id,3,428,428,214,748,413,69,162,162,1,100,condition_original,214,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),secretory_cell,control,donor_id,10,544,544,214,748,413,69,162,162,1,100,condition_original,214,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),dendritic_cell_comma_human,case,donor_id,3,240,240,120,601,86,88,39,39,1,100,condition_original,120,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),dendritic_cell_comma_human,control,donor_id,17,2116,2116,120,601,86,88,39,39,1,100,condition_original,120,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),monocyte,case,donor_id,3,313,313,156,589,167,99,70,70,1,100,condition_original,156,TRUE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),monocyte,control,donor_id,12,1373,1373,156,589,167,99,70,70,1,100,condition_original,156,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),endothelial_cell,case,donor_id,10,915,915,447,843,486,108,193,193,1,100,condition_original,447,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),endothelial_cell,control,donor_id,7,895,895,447,843,486,108,193,193,1,100,condition_original,447,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),B_cell,case,donor_id,10,4756,2400,600,338,159,106,56,56,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),B_cell,control,donor_id,7,9919,2400,600,338,159,106,56,56,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),epithelial_cell,case,donor_id,10,18061,2400,600,932,444,92,194,194,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),epithelial_cell,control,donor_id,7,3233,2400,600,932,444,92,194,194,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),CD4_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,10,3461,2400,600,371,128,125,46,46,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),CD4_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,7,6903,2400,600,371,128,125,46,46,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),fibroblast,case,donor_id,10,1833,1833,600,1001,687,97,238,238,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),fibroblast,control,donor_id,7,1605,1605,600,1001,687,97,238,238,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),myeloid_cell,case,donor_id,10,6203,2400,325,776,253,112,115,115,1,100,condition_original,325,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),myeloid_cell,control,donor_id,7,650,650,325,776,253,112,115,115,1,100,condition_original,325,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),natural_killer_cell,case,donor_id,10,1079,1079,159,431,103,118,41,41,1,100,condition_original,159,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),natural_killer_cell,control,donor_id,7,319,319,159,431,103,118,41,41,1,100,condition_original,159,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),CD8_minus_positive_comma_alpha_minus_beta_T_cell,case,donor_id,10,6282,2400,600,373,160,113,68,68,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),CD8_minus_positive_comma_alpha_minus_beta_T_cell,control,donor_id,7,2419,2400,600,373,160,113,68,68,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),plasma_cell,case,donor_id,10,2935,2400,600,342,101,113,42,42,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),plasma_cell,control,donor_id,7,3256,2400,600,342,101,113,42,42,1,100,condition_original,600,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),regulatory_T_cell,case,donor_id,10,3153,2400,457,387,173,121,60,60,1,100,condition_original,457,TRUE
