"tf","cluster","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","type","drivers"
"TF12","synthetic_pilot","spearman",216,40,NA,-0.0714032830283524,-0.155283131281528,"cv_r2",-0.00401316087008109,0.941176470588235,FALSE,NA,NA,"null",""
"TF13","synthetic_pilot","rf",216,40,-0.0755392990064463,-0.0316780970772916,-0.261913897579761,"oob_r2",-0.0203260352648254,0.235294117647059,FALSE,0.298649155722327,0.220723104056437,"null",""
"TF13","synthetic_pilot","lm",216,40,NA,-0.852100197790462,-1.2987765239947,"cv_r2",-0.367415434020232,0.745098039215686,FALSE,NA,NA,"null",""
"TF13","synthetic_pilot","ridge",216,40,NA,-0.00851527443072486,-0.131265091008689,"cv_r2",-0.00203317835329217,0.294117647058824,FALSE,NA,NA,"null",""
"TF13","synthetic_pilot","spearman",216,40,NA,-0.0119974711575368,-0.173418654362963,"cv_r2",0.00422899550131982,0.176470588235294,FALSE,NA,NA,"null",""
"TF14","synthetic_pilot","rf",216,40,-0.036636339471442,-0.0826503857953973,-0.113473354602377,"oob_r2",-0.0172798525774546,0.117647058823529,FALSE,0.310160516989785,0.275573192239859,"null",""
"TF14","synthetic_pilot","lm",216,40,NA,-0.582768419879766,-0.86777256987315,"cv_r2",-0.322132672779505,0.392156862745098,FALSE,NA,NA,"null",""
"TF14","synthetic_pilot","ridge",216,40,NA,-0.0166929147726045,-0.0668273018814911,"cv_r2",-0.00379466109886514,0.509803921568627,FALSE,NA,NA,"null",""
"TF14","synthetic_pilot","spearman",216,40,NA,-0.0691676662539624,-0.0752980616765553,"cv_r2",-0.00888087606837142,0.862745098039216,FALSE,NA,NA,"null",""
"TF15","synthetic_pilot","rf",216,40,-0.066236474144685,-0.0581608487004972,-0.138380287092823,"oob_r2",-0.0304161830864821,0.333333333333333,FALSE,0.335955805711903,0.268077601410935,"null",""
"TF15","synthetic_pilot","lm",216,40,NA,-0.49445047387413,-0.862364045098282,"cv_r2",-0.394299237454467,0.215686274509804,FALSE,NA,NA,"null",""
"TF15","synthetic_pilot","ridge",216,40,NA,-0.0420265461266918,-0.152420452894203,"cv_r2",0.00408260189687486,0.96078431372549,FALSE,NA,NA,"null",""
"TF15","synthetic_pilot","spearman",216,40,NA,-0.0408238147318956,-0.174304197541305,"cv_r2",-0.00340142621863589,0.745098039215686,FALSE,NA,NA,"null",""
