"dataset","cluster","tf","n_pred","rho_100_vs_1000","rho_100_vs_100","top5_jac_100_1000","top5_jac_100_100","top10_jac_100_1000","top1_same_100_1000"
"severity","CD4_TCM","CEBPB",46,0.952143077397471,0.904902867715079,0.666666666666667,0.666666666666667,1,TRUE
"severity","CD4_TCM","ARID3A",46,0.955596669750231,0.935245143385754,0.666666666666667,1,1,TRUE
"severity","CD4_TCM","MYB",46,0.965587419056429,0.908356460067838,1,0.666666666666667,0.818181818181818,TRUE
"severity","CD4_TCM","SPI1",46,0.936108541473944,0.908973172987974,1,0.666666666666667,0.818181818181818,TRUE
"severity","CD4_TCM","MAFB",46,0.912550107924761,0.871600370027752,1,1,0.818181818181818,TRUE
"severity","CD4_TCM","AR",46,0.93154486586494,0.885168054270737,1,1,0.818181818181818,TRUE
"severity","CD4_TCM","HES4",46,0.9754548257786,0.926241134751773,1,0.666666666666667,0.818181818181818,TRUE
"severity","CD4_TCM","PAX8",46,0.959050262102991,0.891951896392229,0.666666666666667,1,0.818181818181818,TRUE
"severity","CD4_TCM","ETS2",46,0.94918285538082,0.899599136601912,1,0.666666666666667,1,TRUE
"severity","CD4_TCM","POU3F1",46,0.955966697502312,0.936971939562134,1,0.666666666666667,1,FALSE
"severity","cDC2","BCLAF1",79,0.882375851996105,0.836903602726388,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","KLF4",79,0.92388023369036,0.806450827653359,1,1,0.666666666666667,TRUE
"severity","cDC2","NR4A3",79,0.892502434274586,0.844814995131451,1,1,1,TRUE
"severity","cDC2","FOXC2",79,0.939289191820837,0.840141187925998,1,1,0.666666666666667,FALSE
"severity","cDC2","BHLHE40",79,0.868865628042843,0.704503407984421,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","KLF5",79,0.907960077896787,0.835905550146056,1,1,0.818181818181818,TRUE
"severity","cDC2","NR4A2",79,0.936538461538462,0.853164556962025,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","PAX5",79,0.911587147030185,0.864581304771178,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","KLF6",79,0.821616358325219,0.687244401168452,1,1,0.818181818181818,TRUE
"severity","cDC2","ID1",79,0.905306718597858,0.796616358325219,1,1,0.818181818181818,TRUE
"severity","cDC2","EGR1",79,0.930842259006816,0.842429406037001,1,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","FOS",79,0.876533592989289,0.766820837390458,0.666666666666667,1,1,TRUE
"severity","cDC2","FOXD4L1",79,0.89087147030185,0.76966893865628,0.666666666666667,1,1,TRUE
"severity","cDC2","PRDM1",79,0.898807205452775,0.752872444011685,1,1,0.818181818181818,FALSE
"severity","cDC2","HES1",79,0.861222005842259,0.763437195715677,1,1,0.818181818181818,TRUE
"severity","cDC2","HES4",79,0.910929892891918,0.771616358325219,1,1,0.818181818181818,TRUE
"severity","cDC2","LEF1",79,0.927823758519961,0.868135345666991,1,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","ATF5",79,0.926630963972736,0.839435248296008,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","FOXP3",79,0.924586173320351,0.840749756572541,1,1,1,FALSE
"severity","cDC2","SPIB",79,0.884420642648491,0.809858812074002,1,1,0.818181818181818,TRUE
"severity","cDC2","JUN",79,0.793573515092503,0.641650438169426,1,0.666666666666667,1,TRUE
"severity","cDC2","KLF10",79,0.884591041869523,0.85491723466407,1,1,1,TRUE
"severity","cDC2","MAFF",79,0.906913339824732,0.817088607594937,0.666666666666667,1,1,TRUE
"severity","cDC2","ZBTB16",79,0.830696202531646,0.720180136319377,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","ZNF563",79,0.906134371957157,0.813072054527751,1,1,1,TRUE
"severity","cDC2","FOXP1",79,0.917064264849075,0.857546251217137,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","HIVEP1",79,0.868743914313535,0.691966893865628,1,0.666666666666667,0.666666666666667,TRUE
"severity","cDC2","EGR2",79,0.908495618305745,0.8365141187926,1,1,1,FALSE
"severity","cDC2","IKZF1",79,0.899732229795521,0.816528724440117,1,1,0.666666666666667,FALSE
"severity","cDC2","IRX5",79,0.881962025316456,0.77570593962999,1,1,1,TRUE
"severity","cDC2","HOXA5",79,0.846129503407985,0.740701071080818,1,1,0.818181818181818,TRUE
"severity","cDC2","OSR2",79,0.916796494644596,0.782838364167478,0.666666666666667,0.666666666666667,0.818181818181818,FALSE
"severity","cDC2","POU2F2",79,0.888948393378773,0.800730282375852,0.666666666666667,0.666666666666667,1,FALSE
"severity","cDC2","NR2F2",79,0.87261441090555,0.782132424537488,1,1,0.818181818181818,TRUE
"severity","cDC2","HESX1",79,0.850584225900682,0.768500486854917,0.666666666666667,1,0.666666666666667,TRUE
"severity","cDC2","ZNF320",79,0.906767283349562,0.730282375851996,1,1,0.818181818181818,TRUE
