"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard"
"CD14_Mono","HES1","lm",1200,116,NA,0.89361675380641,0.788698235704108,"cv_r2",-0.102289308982799,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","HES1","ridge",1200,116,NA,0.894748431873909,0.768052405699415,"cv_r2",0.00129777844772772,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","HES1","spearman",1200,116,NA,0.626047694891744,0.252366661957384,"cv_r2",0.00505058389886195,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","BATF3","rf",1200,116,0.909819017945701,0.906646622908326,0.641784262560325,"oob_r2",-0.0304486122673209,0.0196078431372549,TRUE,0.826551168860014,0.822222222222222
"CD14_Mono","BATF3","lm",1200,116,NA,0.900575059068136,0.73179908587957,"cv_r2",-0.108571448100003,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","BATF3","ridge",1200,116,NA,0.897664803530537,0.703111849675937,"cv_r2",0.000659991936934545,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","BATF3","spearman",1200,116,NA,0.675169393861519,0.392274109760111,"cv_r2",0.00320667322817831,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","ETS2","rf",1200,116,0.881079995022168,0.877695877216613,0.647851292148196,"oob_r2",-0.022521399838304,0.0196078431372549,TRUE,0.870934105596774,0.881481481481481
"CD14_Mono","ETS2","lm",1200,116,NA,0.873568047534334,0.78419260310374,"cv_r2",-0.0979915186062956,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","ETS2","ridge",1200,116,NA,0.877775761008642,0.768769506539148,"cv_r2",0.00208535187382287,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","ETS2","spearman",1200,116,NA,0.587757257982297,-0.0680680960001954,"cv_r2",-0.000116173926938955,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","NR4A3","rf",1200,116,0.911131082305079,0.909434269031918,0.732061688494117,"oob_r2",-0.0310713937878128,0.0196078431372549,TRUE,0.851532182626635,0.874074074074074
"CD14_Mono","NR4A3","lm",1200,116,NA,0.892841232164119,0.814745419738656,"cv_r2",-0.106428847298242,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","NR4A3","ridge",1200,116,NA,0.893711496566039,0.811585954844245,"cv_r2",0.00115765986138892,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","NR4A3","spearman",1200,116,NA,0.625171757092715,0.415369721966639,"cv_r2",0.00445358140619139,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","ATF5","rf",1200,116,0.918176170742469,0.916953890355978,0.799908884480349,"oob_r2",-0.0269381127656654,0.0196078431372549,TRUE,0.826460274136436,1
"CD14_Mono","ATF5","lm",1200,116,NA,0.924005803776534,0.848719594683602,"cv_r2",-0.104614449809569,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","ATF5","ridge",1200,116,NA,0.917136185408607,0.803882784090324,"cv_r2",0.00102444186700845,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","ATF5","spearman",1200,116,NA,0.75460069100093,0.634725401666247,"cv_r2",0.00592597466664117,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","IRF4","rf",1200,116,0.898670128418425,0.895777189761575,0.642903374323673,"oob_r2",-0.0293434454315653,0.0196078431372549,TRUE,0.811306141800894,0.933333333333333
"CD14_Mono","IRF4","lm",1200,116,NA,0.877165061805264,0.677364016446915,"cv_r2",-0.104982097300849,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","IRF4","ridge",1200,116,NA,0.876388350329102,0.660978724648348,"cv_r2",0.0012437615038276,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","IRF4","spearman",1200,116,NA,0.666629340702325,0.29587004399476,"cv_r2",0.00551705991066179,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RUNX1","rf",1200,116,0.903037778842683,0.901770606189727,0.688840990554082,"oob_r2",-0.0271344184573929,0.0196078431372549,TRUE,0.869038984781114,1
"CD14_Mono","RUNX1","lm",1200,116,NA,0.895874549974741,0.777017715373925,"cv_r2",-0.110963223453846,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RUNX1","ridge",1200,116,NA,0.895250287173294,0.7337425653652,"cv_r2",0.000951384240218033,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RUNX1","spearman",1200,116,NA,0.624070322065681,0.318556294972368,"cv_r2",0.000771046091632076,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","KLF10","rf",1200,116,0.830978037902896,0.827538329360748,0.38989294093649,"oob_r2",-0.0361356826861356,0.0196078431372549,TRUE,0.858870393862898,1
"CD14_Mono","KLF10","lm",1200,116,NA,0.813726232512858,0.613249100034029,"cv_r2",-0.0977686180065554,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","KLF10","ridge",1200,116,NA,0.817475681355479,0.589608763248254,"cv_r2",0.00151083598464911,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","KLF10","spearman",1200,116,NA,0.507459307662874,0.10011068891934,"cv_r2",0.00162081159812992,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","BCLAF1","rf",1200,116,0.897299444994092,0.899488557187379,0.436883385211714,"oob_r2",-0.0244236536903642,0.0196078431372549,TRUE,0.896376256316286,1
"CD14_Mono","BCLAF1","lm",1200,116,NA,0.855595091229446,0.521385746306822,"cv_r2",-0.0990162809771379,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","BCLAF1","ridge",1200,116,NA,0.85974700894383,0.444280230647355,"cv_r2",-0.000308555978861269,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","BCLAF1","spearman",1200,116,NA,0.548085494252366,-0.362615733903594,"cv_r2",-0.000248335877003203,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","HES4","rf",1200,116,0.879405179822769,0.877871881458301,0.355844471727522,"oob_r2",-0.0388026896346513,0.0196078431372549,TRUE,0.841570155093394,0.933333333333333
"CD14_Mono","HES4","lm",1200,116,NA,0.857785589827599,0.474715144485952,"cv_r2",-0.112274885872133,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","HES4","ridge",1200,116,NA,0.85863117206035,0.3938162816802,"cv_r2",-0.000561893174714468,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","HES4","spearman",1200,116,NA,0.65903670783023,0.360281806862846,"cv_r2",0.00150834429784508,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","PTEN","rf",1200,116,0.886620709985698,0.88387071324686,0.687404850266542,"oob_r2",-0.0297678656115213,0.0196078431372549,TRUE,0.847783458698001,1
"CD14_Mono","PTEN","lm",1200,116,NA,0.871202469025427,0.789712393621417,"cv_r2",-0.110217414375856,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","PTEN","ridge",1200,116,NA,0.873367133247565,0.795436732776043,"cv_r2",0.00084347258505747,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","PTEN","spearman",1200,116,NA,0.666025841831035,0.480549577315693,"cv_r2",0.00527515547400958,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RORA","rf",1200,116,0.881968726132009,0.879518082194893,0.596356107887723,"oob_r2",-0.0332887892548468,0.0196078431372549,TRUE,0.848631752499818,0.82962962962963
"CD14_Mono","RORA","lm",1200,116,NA,0.864824689972773,0.776992514016357,"cv_r2",-0.101949988208671,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RORA","ridge",1200,116,NA,0.866263480391771,0.769695051598772,"cv_r2",0.00257303325210998,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RORA","spearman",1200,116,NA,0.675285734917029,0.421506348330064,"cv_r2",0.00135555286652624,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RUNX3","rf",1200,116,0.808631183301484,0.797942365386303,0.591030731670371,"oob_r2",-0.0309835608908125,0.0196078431372549,TRUE,0.903412225511176,0.753439153439153
"CD14_Mono","RUNX3","lm",1200,116,NA,0.771246805423854,0.562742383561564,"cv_r2",-0.103196356171954,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RUNX3","ridge",1200,116,NA,0.778925359995586,0.592397491710486,"cv_r2",0.000494969741075457,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","RUNX3","spearman",1200,116,NA,0.528032779536958,0.467219774589182,"cv_r2",0.000329891407226497,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","NFKB2","rf",1200,116,0.754772014866836,0.752032976612726,0.13366301948009,"oob_r2",-0.0339167185409818,0.0196078431372549,TRUE,0.879472229697117,0.814814814814815
"CD14_Mono","NFKB2","lm",1200,116,NA,0.747128657372257,0.493093855152196,"cv_r2",-0.105621293651238,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","NFKB2","ridge",1200,116,NA,0.75149860017431,0.488434905180286,"cv_r2",0.00218180961127882,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","NFKB2","spearman",1200,116,NA,0.405947969525972,-0.257968978701951,"cv_r2",0.00215610654755777,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","MYBL1","rf",1200,116,0.907465959159599,0.90045179714444,0.611286158109776,"oob_r2",-0.0404900036121235,0.0196078431372549,TRUE,0.844315790822537,1
"CD14_Mono","MYBL1","lm",1200,116,NA,0.892428576175616,0.814450807739185,"cv_r2",-0.0940717633153692,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","MYBL1","ridge",1200,116,NA,0.890854801653428,0.757721992121525,"cv_r2",0.00208548977988615,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","MYBL1","spearman",1200,116,NA,0.501790622959603,0.178968565426763,"cv_r2",0.00232403798964269,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","XBP1","rf",1200,116,0.850059959052303,0.844375391207582,0.631408513196568,"oob_r2",-0.0288947516498161,0.0196078431372549,TRUE,0.832373044247107,1
"CD14_Mono","XBP1","lm",1200,116,NA,0.817914810993791,0.752091070388909,"cv_r2",-0.0946597676439652,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","XBP1","ridge",1200,116,NA,0.821538145978915,0.75945531059011,"cv_r2",-6.51318117369911e-05,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","XBP1","spearman",1200,116,NA,0.497094544418067,0.356361755808724,"cv_r2",0.00325219213377631,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","CEBPZ","rf",1200,116,0.872508964113675,0.871535966520397,0.679995622370985,"oob_r2",-0.0359408280049937,0.0196078431372549,TRUE,0.869885740890239,0.82962962962963
"CD14_Mono","CEBPZ","lm",1200,116,NA,0.867925128091747,0.627658080246852,"cv_r2",-0.116643528006656,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","CEBPZ","ridge",1200,116,NA,0.862473592626623,0.575275424996198,"cv_r2",-0.00032947704750288,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","CEBPZ","spearman",1200,116,NA,0.679167709619913,0.195995003735677,"cv_r2",0.00251805898341535,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","TCF7","rf",1200,116,0.835395572180328,0.830750106317919,0.493494398074309,"oob_r2",-0.0283830739199123,0.0196078431372549,TRUE,0.864802983123823,0.844444444444444
"CD14_Mono","TCF7","lm",1200,116,NA,0.820303241075593,0.677572496332894,"cv_r2",-0.111138871411285,0.0196078431372549,TRUE,NA,NA
"CD14_Mono","TCF7","ridge",1200,116,NA,0.825682785085659,0.698958417252695,"cv_r2",0.00233936204500126,0.0196078431372549,TRUE,NA,NA
