"cluster","tf","ntree","oob_r2","imp_stability_spearman","imp_top5_jaccard"
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT2",1000,0.917554123144311,0.982694050548849,1
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF7",100,0.911234078378612,0.894728049272758,0.874074074074074
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF7",500,0.915084679074981,0.97335429769392,1
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF7",1000,0.915506210171069,0.985200854200034,1
"CD14_plus_monocytes","EGR1",100,0.718517424501566,0.874513397922667,0.602116402116402
"CD14_plus_monocytes","EGR1",500,0.732509348825994,0.95987639836815,0.747089947089947
"CD14_plus_monocytes","EGR1",1000,0.732786854293746,0.977121229124371,0.755555555555556
"CD14_plus_monocytes","MAFF",100,0.738297379401302,0.824709104284909,0.819047619047619
"CD14_plus_monocytes","MAFF",500,0.75266723822148,0.950651731091637,0.933333333333333
"CD14_plus_monocytes","MAFF",1000,0.753589867799335,0.97365337813099,1
"CD14_plus_monocytes","NFE2",100,0.745206083969606,0.833955535605182,0.82962962962963
"CD14_plus_monocytes","NFE2",500,0.758496919444346,0.953663444001229,0.881481481481481
"CD14_plus_monocytes","NFE2",1000,0.759177843130207,0.97551363710044,1
"CD14_plus_monocytes","NFIA",100,0.723828095203606,0.834515392960012,0.8
"CD14_plus_monocytes","NFIA",500,0.730721539297854,0.962109820004557,0.933333333333333
"CD14_plus_monocytes","NFIA",1000,0.732203275435187,0.980002471125802,1
"CD14_plus_monocytes","PAX5",100,0.687037239270587,0.831685613853721,0.8
"CD14_plus_monocytes","PAX5",500,0.703101564684206,0.951259877418558,1
"CD14_plus_monocytes","PAX5",1000,0.702073783313759,0.971122967980784,1
"CD14_plus_monocytes","TCF7L2",100,0.793310545972423,0.80066901763681,0.82962962962963
"CD14_plus_monocytes","TCF7L2",500,0.803437028854332,0.95088150044945,1
"CD14_plus_monocytes","TCF7L2",1000,0.805625197144793,0.974979851256363,1
