"dataset","method","threshold","auroc","n_true"
"lupus","SumOverTFs",0,0.5,152
"lupus","NoSpearmanSign",0,0.499,152
"lupus","UnsignedMagnitude",0,0.499,152
"lupus","ImpOnly",0,0.499,152
"lupus","Decipher",1,0.5,6
"lupus","SumOverTFs",1,0.5,6
"lupus","NoSpearmanSign",1,0.486,6
"lupus","UnsignedMagnitude",1,0.486,6
"lupus","ImpOnly",1,0.486,6
"sepsis","Decipher",0,0.489,252
"sepsis","SumOverTFs",0,0.489,252
"sepsis","NoSpearmanSign",0,0.507,252
"sepsis","UnsignedMagnitude",0,0.505,252
"sepsis","ImpOnly",0,0.505,252
"tnbc","Decipher",0,0.58,135
"tnbc","SumOverTFs",0,0.581,135
"tnbc","NoSpearmanSign",0,0.563,135
"tnbc","UnsignedMagnitude",0,0.565,135
"tnbc","ImpOnly",0,0.568,135
"tnbc","Decipher",1,0.567,28
"tnbc","SumOverTFs",1,0.566,28
"tnbc","NoSpearmanSign",1,0.494,28
"tnbc","UnsignedMagnitude",1,0.444,28
"tnbc","ImpOnly",1,0.441,28
"tnbc","Decipher",2,0.8,6
"tnbc","SumOverTFs",2,0.796,6
"tnbc","NoSpearmanSign",2,0.491,6
"tnbc","UnsignedMagnitude",2,0.732,6
"tnbc","ImpOnly",2,0.721,6
"tnbc","Decipher",3,0.706,2
"tnbc","SumOverTFs",3,0.706,2
"tnbc","NoSpearmanSign",3,0.708,2
"tnbc","UnsignedMagnitude",3,0.628,2
"tnbc","ImpOnly",3,0.628,2
"cz_influenza","Decipher",0,0.531,186
"cz_influenza","SumOverTFs",0,0.532,186
"cz_influenza","NoSpearmanSign",0,0.541,186
"cz_influenza","UnsignedMagnitude",0,0.541,186
"cz_influenza","ImpOnly",0,0.541,186
"cz_influenza","Decipher",1,0.453,54
"cz_influenza","SumOverTFs",1,0.453,54
"cz_influenza","NoSpearmanSign",1,0.544,54
"cz_influenza","UnsignedMagnitude",1,0.544,54
"cz_influenza","ImpOnly",1,0.545,54
"cz_influenza","Decipher",2,0.463,16
"cz_influenza","SumOverTFs",2,0.462,16
"cz_influenza","NoSpearmanSign",2,0.542,16
"cz_influenza","UnsignedMagnitude",2,0.542,16
"cz_influenza","ImpOnly",2,0.542,16
"cz_influenza","Decipher",3,0.457,3
"cz_influenza","SumOverTFs",3,0.457,3
"cz_influenza","NoSpearmanSign",3,0.398,3
"cz_influenza","UnsignedMagnitude",3,0.398,3
