"dataset","method","threshold","auroc","n_true"
"SevCOVID_Azimuthl2","Decipher",3,0.515,7
"SevCOVID_Azimuthl2","RidgeRegr",3,0.515,7
"SevCOVID_Azimuthl2","SpearmanCorr",3,0.511,7
"SevCOVID_Azimuthl2","LROnly",3,0.519,7
"SevCOVID_Azimuthl2","Decipher",4,0.515,2
"SevCOVID_Azimuthl2","RidgeRegr",4,0.515,2
"SevCOVID_Azimuthl2","SpearmanCorr",4,0.511,2
"SevCOVID_Azimuthl2","LROnly",4,0.519,2
"SevCOVID_Azimuthl2","Decipher",5,0.515,2
"SevCOVID_Azimuthl2","RidgeRegr",5,0.515,2
"SevCOVID_Azimuthl2","SpearmanCorr",5,0.511,2
"SevCOVID_Azimuthl2","LROnly",5,0.519,2
"MilCOVID_Azimuthl2","Decipher",0,0.508,263
"MilCOVID_Azimuthl2","RidgeRegr",0,0.51,263
"MilCOVID_Azimuthl2","SpearmanCorr",0,0.51,263
"MilCOVID_Azimuthl2","LROnly",0,0.51,263
"MilCOVID_Azimuthl2","Decipher",1,0.511,52
"MilCOVID_Azimuthl2","RidgeRegr",1,0.508,52
"MilCOVID_Azimuthl2","SpearmanCorr",1,0.508,52
"MilCOVID_Azimuthl2","LROnly",1,0.501,52
"MilCOVID_Azimuthl2","Decipher",2,0.479,22
"MilCOVID_Azimuthl2","RidgeRegr",2,0.477,22
"MilCOVID_Azimuthl2","SpearmanCorr",2,0.477,22
"MilCOVID_Azimuthl2","LROnly",2,0.467,22
"MilCOVID_Azimuthl2","Decipher",3,0.501,6
"MilCOVID_Azimuthl2","RidgeRegr",3,0.499,6
"MilCOVID_Azimuthl2","SpearmanCorr",3,0.499,6
"MilCOVID_Azimuthl2","LROnly",3,0.496,6
"MilCOVID_Azimuthl2","Decipher",4,0.501,6
"MilCOVID_Azimuthl2","RidgeRegr",4,0.499,6
"MilCOVID_Azimuthl2","SpearmanCorr",4,0.499,6
"MilCOVID_Azimuthl2","LROnly",4,0.496,6
