"dataset","cluster","tf","method","cv_r2"
"erp","Fibroblast","ZBTB42","mars",0.807800886818729
"erp","Fibroblast","OSR1","mars",0.804660979929704
"erp","Fibroblast","MYBL1","mars",0.806365412549405
"erp","Fibroblast","PAX9","mars",0.864565224671966
"erp","Fibroblast","JUNB","mars",0.892328253446757
"erp","Fibroblast","ESR1","mars",0.67990489881367
"erp","Fibroblast","PRDM11","mars",0.736783698331183
"erp","Fibroblast","ONECUT2","mars",0.854349767539866
"erp","Fibroblast","MEF2C","mars",0.918763077645675
"erp","Fibroblast","MEF2B","mars",0.796451237556257
"erp","Fibroblast","SIM2","mars",0.661596395827095
"erp","Fibroblast","LYL1","mars",0.903689131526299
"erp","Fibroblast","RUNX1","mars",0.767060254312157
"erp","Fibroblast","PGR","mars",0.496592817995975
"erp","Fibroblast","MYC","mars",0.740326941450549
"erp","Fibroblast","KLF6","svm_rbf",0.89633831865009
"erp","Fibroblast","TFAP2E","svm_rbf",0.888717158123666
"erp","Fibroblast","TFAP2C","svm_rbf",0.888744996536377
"erp","Fibroblast","FOS","svm_rbf",0.90437313597152
"erp","Fibroblast","IRF8","svm_rbf",0.886594399266203
"erp","Fibroblast","MEF2A","svm_rbf",0.899835846432122
"erp","Fibroblast","GRHL1","svm_rbf",0.8822519651019
"erp","Fibroblast","SPI1","svm_rbf",0.887640429051008
"erp","Fibroblast","BCL11A","svm_rbf",0.881595743662489
"erp","Fibroblast","SP6","svm_rbf",0.886056640538139
"erp","Fibroblast","ZEB1","svm_rbf",0.908964286866091
"erp","Fibroblast","BATF","svm_rbf",0.904908527012413
"erp","Fibroblast","TFAP2B","svm_rbf",0.896567679600149
"erp","Fibroblast","NFATC2","svm_rbf",0.88646093784751
"erp","Fibroblast","IRF1","svm_rbf",0.894283082678524
"erp","Fibroblast","ATF3","svm_rbf",0.90026629755494
"erp","Fibroblast","STAT2","svm_rbf",0.882000771020366
"erp","Fibroblast","MAFB","svm_rbf",0.889137165215926
"erp","Fibroblast","SALL4","svm_rbf",0.874427770840366
"erp","Fibroblast","STAT1","svm_rbf",0.886460513785033
"erp","Fibroblast","NHLH2","svm_rbf",0.892171538088818
"erp","Fibroblast","NFATC4","svm_rbf",0.890142959259788
