"dataset","cluster","tf","deltaPagoda","cor_score_expr","anchor_sign","anchored_delta","flipped","weak_anchor"
"covid","CD14_plus_monocytes","BDP1",-2.40780040361917,-0.255409654890057,-1,2.40780040361917,TRUE,FALSE
"covid","CD14_plus_monocytes","CUX1",-2.39828977608411,-0.0309629428767289,-1,2.39828977608411,TRUE,TRUE
"covid","CD14_plus_monocytes","BCL6",-2.34066377422293,0.110612367154395,1,-2.34066377422293,FALSE,TRUE
"covid","CD14_plus_monocytes","XBP1",-2.28319566385172,0.0624586100357256,1,-2.28319566385172,FALSE,TRUE
"covid","CD14_plus_monocytes","REST",-2.24685016236716,-0.121648251356674,-1,2.24685016236716,TRUE,TRUE
"covid","CD14_plus_monocytes","MAFG",-2.18514191597364,-0.110108771531898,-1,2.18514191597364,TRUE,TRUE
"covid","CD14_plus_monocytes","IRF2",-2.07878650160534,0.156632326661341,1,-2.07878650160534,FALSE,TRUE
"covid","CD14_plus_monocytes","POU2F2",-2.07699567273814,-0.199194422690845,-1,2.07699567273814,TRUE,TRUE
"covid","CD14_plus_monocytes","ZBTB7A",1.42070253912205,0.169717019763479,1,1.42070253912205,FALSE,TRUE
"covid","CD14_plus_monocytes","BACH1",1.52623048268216,0.359209812122299,1,1.52623048268216,FALSE,FALSE
"covid","CD14_plus_monocytes","BPTF",1.54316574525,0.353998093294226,1,1.54316574525,FALSE,FALSE
"covid","CD14_plus_monocytes","ELF3",1.5610046648985,-0.0320580504371614,-1,-1.5610046648985,TRUE,TRUE
"covid","CD14_plus_monocytes","RUNX3",1.56542240229363,0.57250956910007,1,1.56542240229363,FALSE,FALSE
"covid","CD14_plus_monocytes","CEBPZ",1.56867865430466,0.167630059084846,1,1.56867865430466,FALSE,TRUE
"covid","CD14_plus_monocytes","CENPB",1.57842733539007,-0.102206541489313,-1,-1.57842733539007,TRUE,TRUE
"covid","CD14_plus_monocytes","BRCA1",1.67322211871115,0.0818509390242265,1,1.67322211871115,FALSE,TRUE
"covid","CD14_plus_monocytes","NFAT5",1.78275542600575,0.355285947441506,1,1.78275542600575,FALSE,FALSE
