"dataset","cluster","tf","deltaPagoda","n_targets","cor_score_targets"
"SevCOVID_Azimuthl2","HSPC","KLF1",-0.72859824516306,40,0.173446546747362
"SevCOVID_Azimuthl2","HSPC","TCF3",0.883758277167337,40,-0.187078423329006
"SevCOVID_Azimuthl2","HSPC","HIF1A",0.91030568885142,38,0.472993805480473
"SevCOVID_Azimuthl2","HSPC","E2F5",0.925035979882384,40,0.850162683405169
"SevCOVID_Azimuthl2","HSPC","ITGB2",1.02077856944894,40,0.0917302134084093
"SevCOVID_Azimuthl2","HSPC","BATF",1.08937848066628,40,0.471945775944585
"SevCOVID_Azimuthl2","HSPC","TFEB",1.17165372916166,25,0.086863759906642
"SevCOVID_Azimuthl2","HSPC","LMO2",1.19913291013216,40,0.513173890484191
"SevCOVID_Azimuthl2","HSPC","ID3",1.2194305949599,40,0.627794979573258
"SevCOVID_Azimuthl2","HSPC","IKZF1",1.2930314647432,29,0.676672117544146
"SevCOVID_Azimuthl2","HSPC","ATF4",1.2945064006322,29,0.200664407643217
"SevCOVID_Azimuthl2","HSPC","NFIL3",1.29484503361574,23,0.467093371096113
"SevCOVID_Azimuthl2","HSPC","SPI1",1.30593922762925,40,0.49480855431865
"SevCOVID_Azimuthl2","HSPC","MAF",1.31760543376092,40,0.240038099947739
"SevCOVID_Azimuthl2","HSPC","NFKB2",1.34478042384741,28,0.724310164294317
"SevCOVID_Azimuthl2","HSPC","REL",1.43344515733445,40,0.447010352920902
"SevCOVID_Azimuthl2","HSPC","PRDM1",1.47998291510895,40,0.618941518266059
"SevCOVID_Azimuthl2","HSPC","KLF12",1.5472794280208,40,0.107095693806792
"SevCOVID_Azimuthl2","HSPC","KLF6",1.69178315410683,40,0.915163929052428
"SevCOVID_Azimuthl2","HSPC","LYL1",1.76023786087287,40,0.132749471302348
"SevCOVID_Azimuthl2","HSPC","FOXO1",1.78061532513178,30,-0.0890768910892202
"SevCOVID_Azimuthl2","HSPC","TCF7L2",1.79333491770461,40,-0.157732659747237
"SevCOVID_Azimuthl2","HSPC","FOXP1",1.8100640952015,20,0.63143264420006
"SevCOVID_Azimuthl2","HSPC","FOXJ1",1.83045298208858,32,0.237880226801459
"SevCOVID_Azimuthl2","HSPC","KLF10",1.84415120417533,40,0.0323634143097709
"SevCOVID_Azimuthl2","HSPC","CEBPA",1.88033519786106,27,0.600556513985903
"SevCOVID_Azimuthl2","HSPC","GATA2",1.88652956481195,40,-0.0104625003980452
"SevCOVID_Azimuthl2","HSPC","BATF3",1.9758370850917,26,0.557089044110898
"SevCOVID_Azimuthl2","HSPC","BHLHE41",1.97855849208474,40,0.094313292461118
"SevCOVID_Azimuthl2","HSPC","JUN",2.02723632005833,40,0.756785967830457
"SevCOVID_Azimuthl2","HSPC","ZNF76",2.11834032051715,29,0.411518771810534
"SevCOVID_Azimuthl2","HSPC","ETS1",2.18814035200947,40,0.7136528559039
"SevCOVID_Azimuthl2","HSPC","ZNF740",2.19876615143257,29,0.601133445347929
"SevCOVID_Azimuthl2","HSPC","HLF",2.23363317073427,28,0.83941452705677
"SevCOVID_Azimuthl2","HSPC","MYBL1",2.2382512117883,31,-0.12048406039797
"SevCOVID_Azimuthl2","HSPC","SP100",2.24294395258843,40,0.477620495299321
"SevCOVID_Azimuthl2","HSPC","BDP1",2.29922594052772,40,0.730227457062633
"SevCOVID_Azimuthl2","HSPC","DMRTA1",2.30451131132622,29,0.735859093880594
"SevCOVID_Azimuthl2","HSPC","NFE2L2",2.35106569522712,37,0.182490133162502
"SevCOVID_Azimuthl2","HSPC","IRF7",2.47051537083048,40,0.922989965515239
"SevCOVID_Azimuthl2","HSPC","HOXA5",2.51556159227048,28,0.385888408737138
"SevCOVID_Azimuthl2","HSPC","POU2F2",2.63869301241807,40,0.185608934194235
"SevCOVID_Azimuthl2","HSPC","FOXN3",2.63994593275607,40,0.521286519474243
"SevCOVID_Azimuthl2","HSPC","CEBPB",2.72638212631488,40,0.519925673258295
"SevCOVID_Azimuthl2","HSPC","NFATC4",2.75413179971209,40,0.523470616773343
"SevCOVID_Azimuthl2","HSPC","STAT1",2.80007633291929,40,0.791787719229235
"SevCOVID_Azimuthl2","HSPC","IRF9",2.81376764877909,40,0.907939174950689
"SevCOVID_Azimuthl2","HSPC","ZNF143",2.8246288121534,40,0.723387636061207
"SevCOVID_Azimuthl2","HSPC","ESRRA",2.89793652483876,40,0.676916564111498
"SevCOVID_Azimuthl2","HSPC","GATA3",2.9041176911952,40,0.588703196911544
"SevCOVID_Azimuthl2","HSPC","SMC3",2.91832863389773,40,0.518385940857043
"SevCOVID_Azimuthl2","HSPC","ETS2",2.92839935262383,40,0.756829050367232
"SevCOVID_Azimuthl2","HSPC","IKZF2",2.99097962707901,40,0.431439762184397
"SevCOVID_Azimuthl2","HSPC","XBP1",3.00015529007656,40,0.450773518850483
"SevCOVID_Azimuthl2","HSPC","BHLHE40",3.02010880307991,40,0.859945228983683
"SevCOVID_Azimuthl2","HSPC","BCL11A",3.04549539157416,40,0.73123146748486
"SevCOVID_Azimuthl2","HSPC","CHD2",3.10282390946463,40,0.515694218885511
"SevCOVID_Azimuthl2","HSPC","KLF13",3.30054276158797,40,0.701135505817079
"SevCOVID_Azimuthl2","HSPC","NR4A1",3.30406434148808,40,-0.17840665793777
"SevCOVID_Azimuthl2","HSPC","NR4A3",3.31979157506093,40,0.194879172215885
"SevCOVID_Azimuthl2","HSPC","JUND",3.35695064796346,40,0.103400897989919
"SevCOVID_Azimuthl2","HSPC","STAT3",3.41782297684106,40,0.822007309046022
"SevCOVID_Azimuthl2","HSPC","BCL3",3.6079202092863,40,0.521275280551606
"SevCOVID_Azimuthl2","HSPC","IRF4",3.68987048378205,40,0.852056441869482
"SevCOVID_Azimuthl2","HSPC","MBD2",3.70493686874994,40,0.560912150961209
"SevCOVID_Azimuthl2","HSPC","KLF5",3.71391245149208,40,0.461078674331612
"SevCOVID_Azimuthl2","HSPC","IRF1",3.76123630879761,40,0.682520103622867
"SevCOVID_Azimuthl2","HSPC","GATA1",4.0247092426429,40,0.280600308321111
"SevCOVID_Azimuthl2","HSPC","KLF3",4.33550110624435,40,0.734516979202374
"SevCOVID_Azimuthl2","HSPC","FOSB",4.37008724561558,40,0.554476931174711
"SevCOVID_Azimuthl2","HSPC","FOSL2",4.52078077782327,40,0.552517612328349
"SevCOVID_Azimuthl2","HSPC","ELF1",4.66299222242268,40,0.802247409896621
"SevCOVID_Azimuthl2","HSPC","ATF3",4.75536464834842,40,0.892808775350795
"SevCOVID_Azimuthl2","HSPC","NR3C1",4.85036026151553,40,0.808147844280981
"SevCOVID_Azimuthl2","CD4_TCM","STAT3",-2.24993388889711,40,0.185005593216408
"SevCOVID_Azimuthl2","CD4_TCM","KLF9",-2.16188197266319,40,0.119971289698596
"SevCOVID_Azimuthl2","CD4_TCM","FOS",-1.80285370662092,40,0.86046975323379
"SevCOVID_Azimuthl2","CD4_TCM","JUND",-1.55403218522947,40,0.618096032947083
"SevCOVID_Azimuthl2","CD4_TCM","ETS1",-1.44844781558235,40,0.10796743954265
"SevCOVID_Azimuthl2","CD4_TCM","NFE2",-1.4442850695547,40,0.189114749375679
"SevCOVID_Azimuthl2","CD4_TCM","EHF",-1.33162083891913,40,0.0574424326870019
"SevCOVID_Azimuthl2","CD4_TCM","ZNF143",-1.32118664626958,40,0.538065821255554
"SevCOVID_Azimuthl2","CD4_TCM","REST",-1.11914338256745,40,0.348534713898358
"SevCOVID_Azimuthl2","CD4_TCM","CEBPB",0.869022705709735,40,0.711982756041365
"SevCOVID_Azimuthl2","CD4_TCM","ARID3A",0.884014499996907,35,0.829256185880959
"SevCOVID_Azimuthl2","CD4_TCM","MYB",0.902427594025624,40,0.792668030771956
"SevCOVID_Azimuthl2","CD4_TCM","SPI1",1.10493562251163,40,0.756900445782659
"SevCOVID_Azimuthl2","CD4_TCM","MAFB",1.11243273749262,30,0.589331759276483
"SevCOVID_Azimuthl2","CD4_TCM","AR",1.28572079252622,40,0.435412438169263
"SevCOVID_Azimuthl2","CD4_TCM","HES4",1.33308123699466,40,0.60653916927008
"SevCOVID_Azimuthl2","CD4_TCM","PAX8",1.34980579354666,40,0.734080496448186
"SevCOVID_Azimuthl2","CD4_TCM","ETS2",1.49029295132499,40,0.380071732906253
"SevCOVID_Azimuthl2","CD4_TCM","POU3F1",1.83423302775364,27,-0.0600371431555657
"SevCOVID_Azimuthl2","CD8_TEM","KLF7",-3.08690081487423,40,0.0353205662644772
"SevCOVID_Azimuthl2","CD8_TEM","GTF2I",-2.98661666937522,40,0.0519686265098533
"SevCOVID_Azimuthl2","CD8_TEM","BCLAF1",-2.92955744994014,40,0.454319649754922
"SevCOVID_Azimuthl2","CD8_TEM","FOSB",-2.92489558600849,40,0.157267884929959
"SevCOVID_Azimuthl2","CD8_TEM","SP1",-2.71367025922035,40,0.218921096114363
"SevCOVID_Azimuthl2","CD8_TEM","CTCF",-2.67420692590669,40,0.0073569115565292
"SevCOVID_Azimuthl2","CD8_TEM","JUND",-2.62303962405494,40,0.403014573090805
"SevCOVID_Azimuthl2","CD8_TEM","FOS",-2.49631425511349,40,0.564083339812368
"SevCOVID_Azimuthl2","CD8_TEM","JUNB",-2.48150825308107,40,0.301713853239502
"SevCOVID_Azimuthl2","CD8_TEM","ATF3",-2.35414243498588,40,0.458567648928109
"SevCOVID_Azimuthl2","CD8_TEM","NEUROG2",-2.2905315149596,30,0.0803836658009652
"SevCOVID_Azimuthl2","CD8_TEM","GLI1",-2.28126081885308,40,0.0178270880420125
"SevCOVID_Azimuthl2","CD8_TEM","MBD2",-2.18935464219257,40,0.357140961286155
"SevCOVID_Azimuthl2","CD8_TEM","KLF10",-2.12042213073519,40,0.197167499866223
"SevCOVID_Azimuthl2","CD8_TEM","ELF1",-2.06978527869894,40,0.250136273082467
"SevCOVID_Azimuthl2","CD8_TEM","HES5",-1.93600793377804,21,0.480504478812107
"SevCOVID_Azimuthl2","CD8_TEM","NR4A3",-1.86322410852409,40,0.166176009604959
"SevCOVID_Azimuthl2","CD8_TEM","SP4",-1.85276466981572,40,0.559666615488696
"SevCOVID_Azimuthl2","CD8_TEM","MYC",-1.79331392608466,40,0.404719320122134
"SevCOVID_Azimuthl2","CD8_TEM","E2F2",-1.78082444943174,40,0.408063611344646
"SevCOVID_Azimuthl2","CD8_TEM","MAZ",-1.66278604962914,40,0.460035566271731
"SevCOVID_Azimuthl2","CD8_TEM","STAT3",-1.62526042571095,40,0.282295952448354
"SevCOVID_Azimuthl2","CD8_TEM","RUNX2",-1.54310400525777,29,0.205573460259253
"SevCOVID_Azimuthl2","CD8_TEM","ATF4",-1.5240655266664,40,0.497162951029339
"SevCOVID_Azimuthl2","CD8_TEM","IRF1",-1.50532813922727,40,0.253392574608392
"SevCOVID_Azimuthl2","CD8_TEM","EGR1",-1.39045684870124,40,0.415949826585195
"SevCOVID_Azimuthl2","CD8_TEM","SMARCA5",-1.09179442376247,40,0.0960618764711711
"SevCOVID_Azimuthl2","CD8_TEM","RELB",-0.977885555271181,23,0.511909034186344
"SevCOVID_Azimuthl2","CD8_TEM","KLF3",-0.970282119679571,40,0.312086054776701
"SevCOVID_Azimuthl2","CD8_TEM","FOXN3",-0.96432687176773,40,-0.269094937639543
"SevCOVID_Azimuthl2","CD8_TEM","ETS1",-0.948436102817277,40,0.269175075685221
"SevCOVID_Azimuthl2","CD8_TEM","ID2",0.928617570027188,40,-0.168586125057511
"SevCOVID_Azimuthl2","CD8_TEM","IRF9",0.951337346762801,40,0.449539871920798
"SevCOVID_Azimuthl2","CD8_TEM","RUNX3",1.0112930487014,40,0.690100886033202
"SevCOVID_Azimuthl2","CD8_TEM","ELF2",1.1070223970888,40,0.15176507246007
"SevCOVID_Azimuthl2","CD8_TEM","KLF6",1.11887732029213,40,-0.249954404951114
"SevCOVID_Azimuthl2","CD8_TEM","E2F3",1.11894041833631,40,0.0315320593574567
"SevCOVID_Azimuthl2","CD8_TEM","KLF13",1.14893480694445,40,0.434041822501312
"SevCOVID_Azimuthl2","CD8_TEM","TCF7",1.19735922523571,40,-0.000725082892524298
"SevCOVID_Azimuthl2","CD8_TEM","XBP1",1.21844362465701,40,0.550941297729396
"SevCOVID_Azimuthl2","CD8_TEM","FUBP1",1.32944241391171,40,0.128724317527249
"SevCOVID_Azimuthl2","CD8_TEM","ENO1",1.33277237790719,40,0.223744228716543
"SevCOVID_Azimuthl2","CD8_TEM","IRF7",1.34861208564583,40,0.782615693862766
"SevCOVID_Azimuthl2","CD8_TEM","EWSR1",1.4183999101049,20,0.0586904077831708
"SevCOVID_Azimuthl2","CD8_TEM","TFDP2",1.42969386866854,40,0.168461778803461
"SevCOVID_Azimuthl2","CD8_TEM","RAD21",1.43304299498058,40,0.375406546962559
"SevCOVID_Azimuthl2","CD8_TEM","TCF7L2",1.4461785738331,40,0.255268607111155
"SevCOVID_Azimuthl2","CD8_TEM","LYL1",1.45414997789777,33,0.296523570613353
"SevCOVID_Azimuthl2","CD8_TEM","BHLHE40",1.47164836331798,40,0.135875891343734
"SevCOVID_Azimuthl2","CD8_TEM","PRDM1",1.49788837140988,40,0.777362256653229
"SevCOVID_Azimuthl2","CD8_TEM","MAF",1.52591156466692,40,0.00757180782811302
"SevCOVID_Azimuthl2","CD8_TEM","TAL1",1.55424987993822,40,0.391348129314301
"SevCOVID_Azimuthl2","CD8_TEM","ASCL2",1.56742491234578,40,0.111376862942862
"SevCOVID_Azimuthl2","CD8_TEM","STAT1",1.60976275136205,40,0.614156731412347
"SevCOVID_Azimuthl2","CD8_TEM","FOXP1",1.66061274510248,40,0.309483232500782
"SevCOVID_Azimuthl2","CD8_TEM","NR4A2",1.67087694828475,40,0.222990214197304
"SevCOVID_Azimuthl2","CD8_TEM","CUX1",1.7197153459554,36,-0.0671316152612539
"SevCOVID_Azimuthl2","CD8_TEM","SP100",1.7457190867208,40,0.378244748077647
"SevCOVID_Azimuthl2","CD8_TEM","ZNF148",1.84268908640276,40,0.159837935097741
"SevCOVID_Azimuthl2","CD8_TEM","TCF3",1.8465649454471,40,0.136894301672888
"SevCOVID_Azimuthl2","CD8_TEM","HMGN3",1.88742223497073,40,0.272734689899474
"SevCOVID_Azimuthl2","CD8_TEM","REST",1.90400245068265,40,0.0976903259382445
"SevCOVID_Azimuthl2","CD8_TEM","STAT2",1.90981716990396,40,0.23448776213526
"SevCOVID_Azimuthl2","CD8_TEM","BACH1",1.94169597363804,40,0.424566757424355
"SevCOVID_Azimuthl2","CD8_TEM","IKZF3",2.01233426276257,25,0.145506538590309
"SevCOVID_Azimuthl2","CD8_TEM","ZBTB7A",2.04946033380925,40,0.0141534542015336
"SevCOVID_Azimuthl2","CD8_TEM","IKZF2",2.08162902954148,40,0.232888927047154
"SevCOVID_Azimuthl2","CD8_TEM","SPI1",2.19723822400461,40,-0.171919321555914
"SevCOVID_Azimuthl2","CD8_TEM","JUN",2.20072422001645,40,0.118620266937355
"SevCOVID_Azimuthl2","CD8_TEM","ZNF683",2.23682888842109,40,0.355732358044498
"SevCOVID_Azimuthl2","CD8_TEM","SPIB",2.2409155747825,29,0.485447093058535
"SevCOVID_Azimuthl2","CD8_TEM","OSR2",2.33551508052422,22,0.120487252972767
"SevCOVID_Azimuthl2","CD8_TEM","GATA3",2.4507373773719,40,0.303922044713274
"SevCOVID_Azimuthl2","CD8_TEM","CEBPB",2.46207345303062,40,0.647182482010972
"SevCOVID_Azimuthl2","CD8_TEM","HDAC2",2.48231889549872,40,-0.0996431680694523
"SevCOVID_Azimuthl2","CD8_TEM","CEBPZ",2.5684109114475,40,0.0740444818213372
"SevCOVID_Azimuthl2","CD8_TEM","BCL11B",2.57308468479687,40,0.449631275378648
"SevCOVID_Azimuthl2","CD8_TEM","MEF2C",2.57636682852034,40,0.632679544000011
"SevCOVID_Azimuthl2","CD8_TEM","IKZF1",2.64345985474455,40,0.315382638685545
"SevCOVID_Azimuthl2","CD8_TEM","MYBL1",2.87194481097026,40,0.392015604985491
"SevCOVID_Azimuthl2","CD8_TEM","BDP1",3.02289665071665,40,0.456597055238327
"SevCOVID_Azimuthl2","CD14_Mono","MEF2C",-8.84883374071319,40,0.216841792485159
"SevCOVID_Azimuthl2","CD14_Mono","BHLHE40",-6.74622745162085,40,-0.102916704843777
"SevCOVID_Azimuthl2","CD14_Mono","BCL11A",-6.68842447308431,40,0.217482119327612
"SevCOVID_Azimuthl2","CD14_Mono","FOSB",-6.55301821064424,40,0.111432835876037
"SevCOVID_Azimuthl2","CD14_Mono","ZBTB7A",-6.15591239803696,40,0.41172778469607
"SevCOVID_Azimuthl2","CD14_Mono","EGR1",-6.13382248681679,40,0.795387417566088
"SevCOVID_Azimuthl2","CD14_Mono","GATA1",-6.10740660117332,25,0.0606411262874645
"SevCOVID_Azimuthl2","CD14_Mono","KLF2",-6.07926580544782,40,-0.0862136582902302
"SevCOVID_Azimuthl2","CD14_Mono","NR4A1",-6.00490832059875,40,0.241708761488151
"SevCOVID_Azimuthl2","CD14_Mono","ZNF281",-5.82930913427242,40,0.109384188591578
"SevCOVID_Azimuthl2","CD14_Mono","NR4A2",-5.71946527009066,40,0.648737313688931
"SevCOVID_Azimuthl2","CD14_Mono","HES1",-5.63506294478336,40,0.541043063794392
"SevCOVID_Azimuthl2","CD14_Mono","BATF3",-5.55700171905008,40,0.238179008987909
"SevCOVID_Azimuthl2","CD14_Mono","ETS2",-5.52578253232936,40,-0.189032883898293
"SevCOVID_Azimuthl2","CD14_Mono","NR4A3",-5.35831012786745,40,0.38430739027329
"SevCOVID_Azimuthl2","CD14_Mono","ATF5",-5.18487217978629,40,0.290788442086258
"SevCOVID_Azimuthl2","CD14_Mono","IRF4",-5.02919821580465,40,0.407743545762789
"SevCOVID_Azimuthl2","CD14_Mono","RUNX1",-4.91167076888855,40,0.380179359571491
"SevCOVID_Azimuthl2","CD14_Mono","KLF10",-4.86343480386189,40,0.0527729262697117
"SevCOVID_Azimuthl2","CD14_Mono","BCLAF1",-4.74134849517233,40,0.189923481751355
"SevCOVID_Azimuthl2","CD14_Mono","HES4",-4.71403844588733,40,0.491179472918793
"SevCOVID_Azimuthl2","CD14_Mono","PTEN",-4.37720189631048,29,0.382353111111232
"SevCOVID_Azimuthl2","CD14_Mono","RORA",-4.34291762919158,40,0.415647176361194
"SevCOVID_Azimuthl2","CD14_Mono","RUNX3",-3.96043513408782,40,0.150874391591583
"SevCOVID_Azimuthl2","CD14_Mono","NFKB2",-3.91124727236847,40,0.75578387562469
"SevCOVID_Azimuthl2","CD14_Mono","MYBL1",-3.84193024681916,40,-0.00883008958798013
"SevCOVID_Azimuthl2","CD14_Mono","XBP1",-3.60293941038086,40,0.237354820904109
"SevCOVID_Azimuthl2","CD14_Mono","CEBPZ",-3.55352789355799,40,0.254950034756275
"SevCOVID_Azimuthl2","CD14_Mono","TCF7",-3.54302353031464,27,0.253730693614797
"SevCOVID_Azimuthl2","CD14_Mono","BHLHE41",-3.20705820683328,26,0.426132149065828
"SevCOVID_Azimuthl2","CD14_Mono","ZFY",-3.16205062829572,29,0.483873606632694
"SevCOVID_Azimuthl2","CD14_Mono","BCL11B",-3.13455854299345,40,0.236180035349747
"SevCOVID_Azimuthl2","CD14_Mono","LEF1",-3.00633572464898,24,0.331337408308442
"SevCOVID_Azimuthl2","CD14_Mono","DDIT3",-2.66835581210029,20,0.323204228936329
"SevCOVID_Azimuthl2","CD14_Mono","BPTF",2.32833999684092,24,0.43374181417823
"SevCOVID_Azimuthl2","CD14_Mono","IKZF3",2.84715465693658,23,0.448764928986269
"SevCOVID_Azimuthl2","CD14_Mono","AHR",2.92183337199333,40,0.0841083373545168
"SevCOVID_Azimuthl2","CD14_Mono","SPIC",3.24060623944956,22,-0.0184162561004036
"SevCOVID_Azimuthl2","CD14_Mono","NFAT5",3.29148031195424,24,0.228760766205543
"SevCOVID_Azimuthl2","CD14_Mono","BACH1",3.44211743401278,40,0.31547115401429
"SevCOVID_Azimuthl2","CD14_Mono","IKZF2",3.55495604985001,40,0.193644380220325
"SevCOVID_Azimuthl2","CD14_Mono","ZFHX3",4.16909916099269,38,0.175230797732926
"SevCOVID_Azimuthl2","CD14_Mono","ZBTB16",4.20183377790391,37,0.323254548416416
"SevCOVID_Azimuthl2","CD14_Mono","OLIG1",4.32790983527113,24,0.369634643768984
"SevCOVID_Azimuthl2","CD14_Mono","HLX",4.33273006464915,40,0.725190506732165
"SevCOVID_Azimuthl2","CD14_Mono","ZNF331",4.43032191639148,29,0.157203389130178
"SevCOVID_Azimuthl2","CD14_Mono","IKZF1",4.55991436331449,40,0.179374842334958
"SevCOVID_Azimuthl2","CD14_Mono","NFIL3",4.68675311192953,39,0.308807850683339
"SevCOVID_Azimuthl2","CD14_Mono","TP73",4.75441456907603,24,0.451762556109588
"SevCOVID_Azimuthl2","CD14_Mono","SP100",4.77060560763209,40,0.165302228200189
"SevCOVID_Azimuthl2","CD14_Mono","MYBL2",4.86190218235899,40,0.704003811169366
"SevCOVID_Azimuthl2","CD14_Mono","ATF4",4.88936309903905,40,0.150051300730782
"SevCOVID_Azimuthl2","CD14_Mono","ZNF165",4.9239916070244,40,0.18974909968339
"SevCOVID_Azimuthl2","CD14_Mono","KLF3",4.9398612882311,40,0.207463153897512
"SevCOVID_Azimuthl2","CD14_Mono","ENO1",4.96580629908353,40,0.282705728027669
"SevCOVID_Azimuthl2","CD14_Mono","CEBPD",5.07125962429352,33,0.497631067766451
"SevCOVID_Azimuthl2","CD14_Mono","BDP1",5.07785329415987,40,0.103747156820903
"SevCOVID_Azimuthl2","CD14_Mono","ID2",5.17435906981623,40,0.640347016079137
"SevCOVID_Azimuthl2","CD14_Mono","SPIB",5.22021564730532,40,0.179361599270022
"SevCOVID_Azimuthl2","CD14_Mono","ID1",5.22476782727122,40,0.479729714808548
"SevCOVID_Azimuthl2","CD14_Mono","HIF1A",5.23163587752999,40,0.608342410075874
"SevCOVID_Azimuthl2","CD14_Mono","ID3",5.33149994272279,40,0.319871802964749
"SevCOVID_Azimuthl2","CD14_Mono","KLF9",5.36495957008707,40,0.676242062338128
"SevCOVID_Azimuthl2","CD14_Mono","ITGB2",5.43817620296271,40,0.555383115618596
"SevCOVID_Azimuthl2","CD14_Mono","PPARGC1A",5.47676195278162,40,0.121377447086803
"SevCOVID_Azimuthl2","CD14_Mono","GATA3",5.50747897514588,40,-0.250130975787219
"SevCOVID_Azimuthl2","CD14_Mono","RFX2",5.50814356005131,40,0.324944160724336
"SevCOVID_Azimuthl2","CD14_Mono","FOXP1",5.53950872588057,40,0.394501793327659
"SevCOVID_Azimuthl2","CD14_Mono","KLF7",5.6213745070681,40,0.207672070712161
"SevCOVID_Azimuthl2","CD14_Mono","OSR2",5.66097904584559,40,0.404048911201312
"SevCOVID_Azimuthl2","CD14_Mono","MAF",5.667475641964,40,0.226026389268692
"SevCOVID_Azimuthl2","CD14_Mono","CEBPB",5.66978133607669,40,-0.177502174341818
"SevCOVID_Azimuthl2","CD14_Mono","SPI1",5.75453210061559,40,0.327329655469617
"SevCOVID_Azimuthl2","CD14_Mono","PRDM1",5.75659567854013,40,0.34306521522675
"SevCOVID_Azimuthl2","CD14_Mono","TCF4",5.81931096262848,40,0.424861655110339
"SevCOVID_Azimuthl2","CD14_Mono","HOXB2",5.98194993549839,40,0.464576842964153
"SevCOVID_Azimuthl2","CD14_Mono","IRF8",6.01621465968496,40,0.077179263001978
"SevCOVID_Azimuthl2","CD14_Mono","MAFB",6.01641194420868,40,0.224884152348497
"SevCOVID_Azimuthl2","CD14_Mono","REL",6.05287194095939,40,0.306237459973756
"SevCOVID_Azimuthl2","CD14_Mono","CREB5",6.09908807773999,40,0.489439020297084
"SevCOVID_Azimuthl2","CD14_Mono","HMGN3",6.16887503847352,40,0.111013210578802
"SevCOVID_Azimuthl2","CD14_Mono","BCL6",6.19356973745999,40,0.702026240324143
"SevCOVID_Azimuthl2","CD14_Mono","KLF5",6.28354135818277,40,0.211273121874017
"SevCOVID_Azimuthl2","CD14_Mono","ESR1",6.32570426641241,40,0.206442347618885
"SevCOVID_Azimuthl2","CD14_Mono","ETS1",6.329636206842,40,0.270122996892678
"SevCOVID_Azimuthl2","CD14_Mono","MAFF",6.35864617001895,40,0.0773041172570831
"SevCOVID_Azimuthl2","CD14_Mono","TCF7L2",6.42057992610962,40,0.494311954304301
"SevCOVID_Azimuthl2","CD14_Mono","EGR3",6.50283927742718,40,-0.177125465741649
"SevCOVID_Azimuthl2","CD14_Mono","KLF4",6.55361518631979,40,0.250329392594431
"SevCOVID_Azimuthl2","CD14_Mono","NFE2",6.58546055419332,40,0.546379998130277
"SevCOVID_Azimuthl2","CD14_Mono","MAX",6.60139722733078,40,0.633395497266255
"SevCOVID_Azimuthl2","CD14_Mono","ELF1",6.64773625635146,40,0.0886526669623058
"SevCOVID_Azimuthl2","CD14_Mono","TAL1",6.86719262856454,40,0.348405455120531
"SevCOVID_Azimuthl2","CD14_Mono","KLF13",6.89466202431546,40,-0.413578827673892
"SevCOVID_Azimuthl2","CD14_Mono","MBD2",7.00104303955683,40,0.112278836475287
"SevCOVID_Azimuthl2","CD14_Mono","POU2F2",7.25693734301266,40,-0.122898739831052
"SevCOVID_Azimuthl2","CD14_Mono","IRF9",7.39297196671216,40,0.575343782535179
"SevCOVID_Azimuthl2","CD14_Mono","ATF3",7.42001506455702,40,-0.0771560615966548
"SevCOVID_Azimuthl2","CD14_Mono","GATA2",7.70040415690235,40,0.320731532740391
"SevCOVID_Azimuthl2","CD14_Mono","EGR2",8.26402384079774,40,0.568892000187389
"SevCOVID_Azimuthl2","CD14_Mono","IRF1",8.36173227827578,40,0.580652452962154
"SevCOVID_Azimuthl2","CD14_Mono","JUND",9.26843738345279,40,-0.243066262449714
"SevCOVID_Azimuthl2","CD14_Mono","IRF7",9.56490238021806,40,0.886662315552474
"SevCOVID_Azimuthl2","CD14_Mono","STAT2",10.463949505139,40,0.54102432767001
"SevCOVID_Azimuthl2","CD14_Mono","STAT1",10.8005760722807,40,0.833258145780076
"SevCOVID_Azimuthl2","pDC","KLF6",-6.92570400181005,40,0.458372165428976
"SevCOVID_Azimuthl2","pDC","NR4A1",-6.31428153027328,40,0.573811913877108
"SevCOVID_Azimuthl2","pDC","KLF11",-6.29709441033381,40,-0.24154368656278
"SevCOVID_Azimuthl2","pDC","POU2F2",-6.0835758235945,40,0.366870598388534
"SevCOVID_Azimuthl2","pDC","JUND",-5.96235999102953,40,0.801962381318839
"SevCOVID_Azimuthl2","pDC","POLR2A",-5.85876447858318,40,0.614460166099004
"SevCOVID_Azimuthl2","pDC","KLF13",-5.81406840960105,40,0.295300426293264
"SevCOVID_Azimuthl2","pDC","JUN",-5.70049315016474,40,0.144465318761031
"SevCOVID_Azimuthl2","pDC","IRF4",-5.67865097697022,40,0.348539502528385
"SevCOVID_Azimuthl2","pDC","NR4A3",-5.14102348010553,40,0.28145044704957
"SevCOVID_Azimuthl2","pDC","SRF",-5.05496718133653,40,0.100155429534161
"SevCOVID_Azimuthl2","pDC","KLF4",-5.0189324036296,40,0.841734438232388
"SevCOVID_Azimuthl2","pDC","INSM1",-5.00984247094682,39,0.457760795100055
"SevCOVID_Azimuthl2","pDC","NR4A2",-4.88913955931002,40,0.505743700885845
"SevCOVID_Azimuthl2","pDC","HES4",-4.88014929714324,40,0.407099597497591
"SevCOVID_Azimuthl2","pDC","CHD2",-4.8247121884419,40,0.851288681379772
"SevCOVID_Azimuthl2","pDC","FOSB",-4.57816480073807,40,0.572906253110411
"SevCOVID_Azimuthl2","pDC","IRF8",-4.5247945046406,40,0.418735722452983
"SevCOVID_Azimuthl2","pDC","FOSL2",-4.50000960861381,40,0.339883697924127
