"ko","panel","kind","anchor_pair","n_pairs_zeroed","tf","dz","dz_severe","anchor_sign","weak_anchor","expr_dir"
"ligandKO:HP","top","ligand","HP-ITGB2",1,"REL",-0.0936776980755226,-0.146690287186933,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"POU2F2",-0.0793606908379443,-0.128554424283433,-1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"IRF1",-0.047578677734059,-0.0859832989426339,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ETS2",-0.080669789356926,-0.130797987528479,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"TFEC",-0.0693363154926287,-0.157541528436198,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ITGB2",-0.0706236331488987,-0.105238379804757,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"POU2F1",-0.0731064512163127,-0.157808818122316,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"JUN",-0.0707144161481066,-0.12122649885909,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"CUX1",-0.0923756682278573,-0.133531175325569,-1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"PLAG1",-0.00424491907181289,-0.0090062846573334,-1,TRUE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"JUND",-0.0967073600918583,-0.185615108643558,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"FOSL2",-0.177914121908651,-0.332338992749623,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"NR1D1",-0.195705706094472,-0.31383600921599,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ZFY",-0.0209935214608288,-0.0597553503070107,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"FOSB",-0.192827522726067,-0.294930743877497,-1,FALSE,1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"NR4A1",-0.177641618549506,-0.345933036280624,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ATF4",-0.045800216811171,-0.0885601302514838,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"NFIL3",-0.221687077567083,-0.380903872621559,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"STAT3",-0.2056514443305,-0.364578905045115,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"NFE2",-0.260443343358443,-0.45793678970011,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"MXI1",-0.249744211540317,-0.462806188008102,1,TRUE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"HIF1A",-0.341877920453559,-0.630420177038485,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"NFKB2",-0.219698224316125,-0.373777698648903,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"ATF3",-0.15737003807441,-0.239105815926944,1,FALSE,-1
"ligandKO:HP","top","ligand","HP-ITGB2",1,"HES4",-0.1130083341499,-0.20794966635609,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ZBTB7A",0.169443912711657,0.324337770146216,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"KLF6",0.201199276660286,0.379119839233293,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"EGR1",0.281911624946278,0.520871540054338,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"KLF4",0.138282627430879,0.267318215440152,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"MEF2C",0.193246108274905,0.367580023830658,-1,TRUE,-1
