"regulon","regulon_val","mean_abs_score","max_abs_score","top_edge","in_grn"
"HOXB2",-2.39504456076967,0.243513319071268,3.36138194530905,"CD38-PECAM1",TRUE
"ESR1",-1.38174484060846,0.237761183709764,4.82618526474647,"GNAI2-FPR1",TRUE
"NFATC2",-0.937360965755036,0.233625368197891,3.01434688096601,"CD38-PECAM1",TRUE
"POU2F2",1.3729698507033,0.226930605896703,6.74251698273766,"ENAM-CD63",TRUE
"NFIL3",3.232669571164,0.208957373684631,3.80306509097565,"HP-ITGB2",TRUE
"NR1D1",2.70462315125006,0.204148130507891,2.6383536458332,"LRPAP1-LDLR",TRUE
"ZBTB14",-1.87531828434979,0.201623053151279,4.01543376558665,"LAMB2-RPSA",TRUE
"IRF9",-1.50900039295281,0.201278086439761,3.8630132645726,"GNAI2-FPR1",TRUE
"ZFY",2.82435628502355,0.197360811696804,2.82001915936359,"SIGLEC1-SPN",TRUE
"REL",1.3580828391088,0.184836057445373,3.34263103118219,"GNAI2-FPR1",TRUE
"FOXP3",-1.0348909063427,0.18215834633513,2.11407963993238,"CD38-PECAM1",TRUE
"KLF10",-1.32213783831099,0.182100023232174,3.53362320621708,"HLA-A-APLP2",TRUE
"RORA",-1.92824084573255,0.161604411310349,2.72828822023131,"C3-C3AR1",TRUE
"ZBTB7C",-1.09540431567132,0.16035716481224,2.61126769793509,"HLA-A-APLP2",TRUE
"ITGB2",1.82235852960895,0.147638137270642,3.12880162696298,"CD38-PECAM1",TRUE
"BRCA1",-2.09544829707521,0.140374409967369,2.23259449757724,"LAMB2-RPSA",TRUE
"FOXP1",-1.38662021655214,0.132014570794576,1.18870105084043,"ENAM-CD63",TRUE
"RARG",-0.818183669057161,0.119242872169025,2.12368252818403,"GNAI2-FPR1",TRUE
"TFEC",1.55663649929203,0.119109704405931,3.61154056892744,"ENAM-CD63",TRUE
"XBP1",-0.806334658633661,0.118408913422047,1.33205386502268,"CD38-PECAM1",TRUE
"AHR",-1.3373337925442,0.116458073828566,1.82199917028079,"GNAI2-FPR1",TRUE
"FOXC1",-1.38853460982256,0.091534336398189,1.67343889282166,"GNAI2-FPR1",TRUE
