p_val,avg_logFC,Severe/Mod (pct cell expr),Healthy (pct cells expr),p_val_adj,comp,gene,clust,pt,seurat_clusters,final
4.44E-09,0.457390508,0.882,0.639,0.000148915,severe-mod_vs_Healthy_clust_11,SP110,11,severe-mod,11,C MONO_IFN
4.44E-09,0.430934182,0.921,0.721,0.000148954,severe-mod_vs_Healthy_clust_11,PSMB3,11,severe-mod,11,C MONO_IFN
4.46E-09,0.377660701,0.966,0.885,0.00014966,severe-mod_vs_Healthy_clust_11,ACTR2,11,severe-mod,11,C MONO_IFN
4.54E-09,0.444350314,0.871,0.557,0.000152193,severe-mod_vs_Healthy_clust_11,ANP32A,11,severe-mod,11,C MONO_IFN
4.56E-09,-0.407973816,0.372,0.639,0.000153086,severe-mod_vs_Healthy_clust_11,SULF2,11,severe-mod,11,C MONO_IFN
5.40E-09,-0.570294729,0.19,0.459,0.000181139,severe-mod_vs_Healthy_clust_11,LUCAT1,11,severe-mod,11,C MONO_IFN
5.65E-09,0.459326613,0.558,0.197,0.000189602,severe-mod_vs_Healthy_clust_11,LMNB1,11,severe-mod,11,C MONO_IFN
6.06E-09,0.42684704,0.874,0.607,0.000203259,severe-mod_vs_Healthy_clust_11,SNX2,11,severe-mod,11,C MONO_IFN
6.37E-09,-0.351727211,0.298,0.607,0.000213722,severe-mod_vs_Healthy_clust_11,TMEM91,11,severe-mod,11,C MONO_IFN
6.95E-09,0.438022526,0.613,0.213,0.000233051,severe-mod_vs_Healthy_clust_11,DDOST,11,severe-mod,11,C MONO_IFN
7.24E-09,0.438233392,0.824,0.492,0.000242975,severe-mod_vs_Healthy_clust_11,NMI,11,severe-mod,11,C MONO_IFN
7.32E-09,-0.332450067,0.069,0.262,0.000245649,severe-mod_vs_Healthy_clust_11,TNF,11,severe-mod,11,C MONO_IFN
7.71E-09,0.452917855,0.833,0.541,0.000258465,severe-mod_vs_Healthy_clust_11,RAB5IF,11,severe-mod,11,C MONO_IFN
7.96E-09,0.46306452,0.777,0.459,0.000267076,severe-mod_vs_Healthy_clust_11,CHMP5,11,severe-mod,11,C MONO_IFN
8.06E-09,0.556902378,0.739,0.344,0.000270483,severe-mod_vs_Healthy_clust_11,GBP1,11,severe-mod,11,C MONO_IFN
8.92E-09,0.425019059,0.489,0.098,0.000299114,severe-mod_vs_Healthy_clust_11,ZCCHC2,11,severe-mod,11,C MONO_IFN
8.96E-09,-0.26810274,0.071,0.262,0.000300405,severe-mod_vs_Healthy_clust_11,AP000547.3,11,severe-mod,11,C MONO_IFN
9.29E-09,0.43082493,0.845,0.557,0.000311603,severe-mod_vs_Healthy_clust_11,ATOX1,11,severe-mod,11,C MONO_IFN
9.31E-09,0.318019075,0.989,0.951,0.000312348,severe-mod_vs_Healthy_clust_11,PTPRC,11,severe-mod,11,C MONO_IFN
9.96E-09,0.619211468,0.867,0.639,0.000334099,severe-mod_vs_Healthy_clust_11,LILRB2,11,severe-mod,11,C MONO_IFN
9.99E-09,0.434935322,0.689,0.344,0.000334979,severe-mod_vs_Healthy_clust_11,TMED9,11,severe-mod,11,C MONO_IFN
1.02E-08,-0.535224167,0.127,0.361,0.000341491,severe-mod_vs_Healthy_clust_11,PTGS2,11,severe-mod,11,C MONO_IFN
1.09E-08,-0.319023883,0.977,0.984,0.000364274,severe-mod_vs_Healthy_clust_11,RPL15,11,severe-mod,11,C MONO_IFN
1.20E-08,0.374111865,0.461,0.066,0.000401647,severe-mod_vs_Healthy_clust_11,ST14,11,severe-mod,11,C MONO_IFN
1.27E-08,-0.853615988,0.708,0.852,0.000424447,severe-mod_vs_Healthy_clust_11,IRF1,11,severe-mod,11,C MONO_IFN
1.27E-08,0.433865951,0.903,0.623,0.000426082,severe-mod_vs_Healthy_clust_11,POMP,11,severe-mod,11,C MONO_IFN
1.27E-08,0.390121623,0.839,0.459,0.000426799,severe-mod_vs_Healthy_clust_11,UBE2L6,11,severe-mod,11,C MONO_IFN
1.31E-08,0.434573469,0.867,0.656,0.000440499,severe-mod_vs_Healthy_clust_11,PSMA4,11,severe-mod,11,C MONO_IFN
1.32E-08,0.328815201,0.956,0.869,0.000443142,severe-mod_vs_Healthy_clust_11,TMBIM6,11,severe-mod,11,C MONO_IFN
1.48E-08,-0.455358801,0.323,0.607,0.000496347,severe-mod_vs_Healthy_clust_11,ABTB1,11,severe-mod,11,C MONO_IFN
1.48E-08,0.517574496,0.557,0.164,0.00049716,severe-mod_vs_Healthy_clust_11,IFIT2,11,severe-mod,11,C MONO_IFN
1.61E-08,-0.495128499,0.351,0.59,0.000539879,severe-mod_vs_Healthy_clust_11,RDH11,11,severe-mod,11,C MONO_IFN
1.62E-08,-0.524391717,0.223,0.492,0.000542239,severe-mod_vs_Healthy_clust_11,FAM110A,11,severe-mod,11,C MONO_IFN
1.79E-08,-0.273064536,0.082,0.279,0.000599659,severe-mod_vs_Healthy_clust_11,ZDHHC1,11,severe-mod,11,C MONO_IFN
1.82E-08,0.432483258,0.824,0.557,0.000610841,severe-mod_vs_Healthy_clust_11,VPS29,11,severe-mod,11,C MONO_IFN
1.94E-08,-0.716081594,0.18,0.426,0.000651907,severe-mod_vs_Healthy_clust_11,DAB2,11,severe-mod,11,C MONO_IFN
1.98E-08,-0.479387929,0.217,0.475,0.000663638,severe-mod_vs_Healthy_clust_11,AGPAT1,11,severe-mod,11,C MONO_IFN
1.99E-08,0.652018842,0.84,0.672,0.00066706,severe-mod_vs_Healthy_clust_11,H1FX,11,severe-mod,11,C MONO_IFN
2.04E-08,-0.468218256,0.117,0.344,0.000685404,severe-mod_vs_Healthy_clust_11,ERV3-1,11,severe-mod,11,C MONO_IFN
2.11E-08,0.615683515,0.664,0.344,0.000708244,severe-mod_vs_Healthy_clust_11,HMOX1,11,severe-mod,11,C MONO_IFN
2.21E-08,-0.447800296,0.866,0.918,0.000741409,severe-mod_vs_Healthy_clust_11,YPEL5,11,severe-mod,11,C MONO_IFN
2.24E-08,-0.64863139,0.685,0.82,0.000751425,severe-mod_vs_Healthy_clust_11,YWHAH,11,severe-mod,11,C MONO_IFN
2.30E-08,0.418787539,0.828,0.525,0.000770155,severe-mod_vs_Healthy_clust_11,LAMP2,11,severe-mod,11,C MONO_IFN
2.37E-08,-0.398268952,0.861,0.869,0.000794839,severe-mod_vs_Healthy_clust_11,EEF2,11,severe-mod,11,C MONO_IFN
2.40E-08,-0.283509236,0.994,0.984,0.000806069,severe-mod_vs_Healthy_clust_11,RPS7,11,severe-mod,11,C MONO_IFN
2.56E-08,-0.456050946,0.167,0.41,0.000859864,severe-mod_vs_Healthy_clust_11,ABCC3,11,severe-mod,11,C MONO_IFN
2.79E-08,0.250954879,1,0.984,0.000935793,severe-mod_vs_Healthy_clust_11,S100A6,11,severe-mod,11,C MONO_IFN
3.11E-08,0.389559891,0.944,0.803,0.001041502,severe-mod_vs_Healthy_clust_11,SMAP2,11,severe-mod,11,C MONO_IFN
3.32E-08,-0.329929301,0.984,0.951,0.001112176,severe-mod_vs_Healthy_clust_11,RPL7A,11,severe-mod,11,C MONO_IFN
3.36E-08,0.483341656,0.668,0.295,0.001126797,severe-mod_vs_Healthy_clust_11,PIM1,11,severe-mod,11,C MONO_IFN
3.53E-08,0.380278025,0.487,0.115,0.001185475,severe-mod_vs_Healthy_clust_11,PML,11,severe-mod,11,C MONO_IFN
3.57E-08,0.482194245,0.513,0.164,0.001198864,severe-mod_vs_Healthy_clust_11,TCN2,11,severe-mod,11,C MONO_IFN
3.66E-08,-0.607400509,0.44,0.656,0.001226837,severe-mod_vs_Healthy_clust_11,ARHGAP18,11,severe-mod,11,C MONO_IFN
3.88E-08,-0.397244206,0.907,0.934,0.001302544,severe-mod_vs_Healthy_clust_11,UBB,11,severe-mod,11,C MONO_IFN
4.05E-08,0.449422801,0.749,0.361,0.001358634,severe-mod_vs_Healthy_clust_11,SHTN1,11,severe-mod,11,C MONO_IFN
4.39E-08,-0.489854039,0.379,0.639,0.001472952,severe-mod_vs_Healthy_clust_11,ATF3,11,severe-mod,11,C MONO_IFN
4.45E-08,0.413204812,0.796,0.492,0.001491077,severe-mod_vs_Healthy_clust_11,STAT2,11,severe-mod,11,C MONO_IFN
4.58E-08,-0.391582631,0.259,0.525,0.001535197,severe-mod_vs_Healthy_clust_11,MCUR1,11,severe-mod,11,C MONO_IFN
4.95E-08,0.371990944,0.907,0.607,0.001659854,severe-mod_vs_Healthy_clust_11,H2AFJ,11,severe-mod,11,C MONO_IFN
5.08E-08,0.422509957,0.976,0.82,0.001702227,severe-mod_vs_Healthy_clust_11,STK17B,11,severe-mod,11,C MONO_IFN
5.26E-08,0.417381177,0.905,0.721,0.001764859,severe-mod_vs_Healthy_clust_11,LAP3,11,severe-mod,11,C MONO_IFN
5.48E-08,0.400589089,0.688,0.344,0.001837426,severe-mod_vs_Healthy_clust_11,PSMA3,11,severe-mod,11,C MONO_IFN
6.02E-08,-0.674137968,0.517,0.705,0.002018415,severe-mod_vs_Healthy_clust_11,ACTN1,11,severe-mod,11,C MONO_IFN
6.06E-08,0.409109886,0.893,0.689,0.002032581,severe-mod_vs_Healthy_clust_11,DRAP1,11,severe-mod,11,C MONO_IFN
6.25E-08,-0.564237794,0.281,0.508,0.002095308,severe-mod_vs_Healthy_clust_11,VIM-AS1,11,severe-mod,11,C MONO_IFN
6.76E-08,0.452258763,0.49,0.148,0.0022688,severe-mod_vs_Healthy_clust_11,B4GALT5,11,severe-mod,11,C MONO_IFN
6.78E-08,-0.479326674,0.266,0.508,0.002275085,severe-mod_vs_Healthy_clust_11,FRMD4B,11,severe-mod,11,C MONO_IFN
7.33E-08,0.45304387,0.414,0.066,0.002459211,severe-mod_vs_Healthy_clust_11,F5,11,severe-mod,11,C MONO_IFN
7.34E-08,-0.47589027,0.135,0.361,0.002460734,severe-mod_vs_Healthy_clust_11,BCL2L1,11,severe-mod,11,C MONO_IFN
7.57E-08,0.345753592,0.957,0.902,0.002537976,severe-mod_vs_Healthy_clust_11,PSMA7,11,severe-mod,11,C MONO_IFN
7.83E-08,-0.39636607,0.446,0.656,0.002626847,severe-mod_vs_Healthy_clust_11,CAMTA1,11,severe-mod,11,C MONO_IFN
8.30E-08,0.479968495,0.391,0.049,0.002785266,severe-mod_vs_Healthy_clust_11,LGALS3BP,11,severe-mod,11,C MONO_IFN
8.82E-08,-0.49377918,0.873,0.934,0.002957092,severe-mod_vs_Healthy_clust_11,DDX3X,11,severe-mod,11,C MONO_IFN
8.99E-08,-0.390611917,0.08,0.262,0.003016386,severe-mod_vs_Healthy_clust_11,SUSD3,11,severe-mod,11,C MONO_IFN
9.37E-08,-0.500822319,0.414,0.656,0.00314283,severe-mod_vs_Healthy_clust_11,TAGAP,11,severe-mod,11,C MONO_IFN
9.49E-08,0.379404334,0.804,0.541,0.003184396,severe-mod_vs_Healthy_clust_11,PSMB6,11,severe-mod,11,C MONO_IFN
9.62E-08,0.355941869,0.601,0.23,0.003226592,severe-mod_vs_Healthy_clust_11,ERO1A,11,severe-mod,11,C MONO_IFN
9.73E-08,0.478060674,0.647,0.295,0.003263848,severe-mod_vs_Healthy_clust_11,SAP30,11,severe-mod,11,C MONO_IFN
9.77E-08,0.506954655,0.739,0.459,0.003276713,severe-mod_vs_Healthy_clust_11,HIST1H1C,11,severe-mod,11,C MONO_IFN
1.04E-07,0.370142631,0.764,0.426,0.003496874,severe-mod_vs_Healthy_clust_11,UNC93B1,11,severe-mod,11,C MONO_IFN
1.05E-07,-0.531357347,0.576,0.803,0.003518775,severe-mod_vs_Healthy_clust_11,NR4A2,11,severe-mod,11,C MONO_IFN
1.07E-07,0.429892431,0.813,0.492,0.003573859,severe-mod_vs_Healthy_clust_11,ARF6,11,severe-mod,11,C MONO_IFN
1.17E-07,0.37462149,0.916,0.754,0.003934731,severe-mod_vs_Healthy_clust_11,TXN,11,severe-mod,11,C MONO_IFN
1.20E-07,0.461675481,0.37,0.033,0.00402524,severe-mod_vs_Healthy_clust_11,VNN1,11,severe-mod,11,C MONO_IFN
1.21E-07,-0.438982584,0.447,0.639,0.004042417,severe-mod_vs_Healthy_clust_11,WBP2,11,severe-mod,11,C MONO_IFN
1.26E-07,-0.342694742,0.962,0.951,0.004240009,severe-mod_vs_Healthy_clust_11,EEF1D,11,severe-mod,11,C MONO_IFN
1.32E-07,0.44231692,0.841,0.59,0.004431981,severe-mod_vs_Healthy_clust_11,PTEN,11,severe-mod,11,C MONO_IFN
1.45E-07,0.416715097,0.441,0.082,0.004855179,severe-mod_vs_Healthy_clust_11,SERPING1,11,severe-mod,11,C MONO_IFN
1.48E-07,0.412408059,0.622,0.262,0.004956646,severe-mod_vs_Healthy_clust_11,SLFN5,11,severe-mod,11,C MONO_IFN
1.51E-07,0.40080143,0.445,0.098,0.005074048,severe-mod_vs_Healthy_clust_11,SAMD4A,11,severe-mod,11,C MONO_IFN
